gvkey,tic,conm
013421,CDNS,CADENCE DESIGN SYSTEMS INC
170841,PSX,PHILLIPS 66
010096,PSA,PUBLIC STORAGE
143356,PRU,PRUDENTIAL FINANCIAL INC
032106,BKR,BAKER HUGHES CO
008455,PPL,PPL CORP
024344,VRTX,VERTEX PHARMACEUTICALS INC
008247,PPG,PPG INDUSTRIES INC
061420,POOL,POOL CORP
002176,BRK.B,BERKSHIRE HATHAWAY
001075,PNW,PINNACLE WEST CAPITAL CORP
066368,VRSN,VERISIGN INC
008463,PNR,PENTAIR PLC
001487,AIG,AMERICAN INTERNATIONAL GROUP
008245,PNC,PNC FINANCIAL SVCS GROUP INC
119314,BKNG,BOOKING HOLDINGS INC
180652,VRSK,VERISK ANALYTICS INC
179621,PM,PHILIP MORRIS INTERNATIONAL
029984,PLD,PROLOGIS INC
011220,VNO,VORNADO REALTY TRUST
004145,PKI,PERKINELMER INC
157057,AIZ,ASSURANT INC
128978,PKG,PACKAGING CORP OF AMERICA
008823,PHM,PULTEGROUP INC
028320,CDW,CDW CORP
013341,PGR,PROGRESSIVE CORP-OHIO
144559,ZBH,ZIMMER BIOMET HOLDINGS INC
002019,BK,BANK OF NEW YORK MELLON CORP
011228,VMC,VULCAN MATERIALS CO
145701,PFG,PRINCIPAL FINANCIAL GRP INC
015247,VLO,VALERO ENERGY CORP
008530,PFE,PFIZER INC
008479,PEP,PEPSICO INC
030259,PENN,PENN NATIONAL GAMING INC
008810,PEG,PUBLIC SERVICE ENTRP GRP INC
004973,AJG,ARTHUR J GALLAGHER & CO
013125,PEAK,HEALTHPEAK PROPERTIES INC
008253,PCAR,PACCAR INC
016245,PBCT,PEOPLE'S UNITED FINL INC
003243,C,CITIGROUP INC
065417,YUM,YUM BRANDS INC
125595,AKAM,AKAMAI TECHNOLOGIES INC
162254,CE,CELANESE CORP
020116,PAYC,PAYCOM SOFTWARE INC
008068,OXY,OCCIDENTAL PETROLEUM CORP
004723,USB,US BANCORP
036190,OTIS,OTIS WORLDWIDE CORP
028180,ORLY,O'REILLY AUTOMOTIVE INC
004066,OMC,OMNICOM GROUP INC
008151,OKE,ONEOK INC
038821,OGN,ORGANON & CO
029751,ALB,ALBEMARLE CORP
066065,URI,UNITED RENTALS INC
024617,ODFL,OLD DOMINION FREIGHT
030822,O,REALTY INCOME CORP
010920,UPS,UNITED PARCEL SERVICE INC
184725,NXPI,NXP SEMICONDUCTORS NV
012850,CERN,CERNER CORP
007875,NWL,NEWELL BRANDS INC
002220,BIO,BIO-RAD LABORATORIES INC
010867,UNP,UNION PACIFIC CORP
141384,ALGN,ALIGN TECHNOLOGY INC
012459,NVR,NVR INC
011376,WST,WEST PHARMACEUTICAL SVSC INC
008030,NUE,NUCOR CORP
010903,UNH,UNITEDHEALTH GROUP INC
007982,NTRS,NORTHERN TRUST CORP
163946,CF,CF INDUSTRIES HOLDINGS INC
007923,NSC,NORFOLK SOUTHERN CORP
135990,NRG,NRG ENERGY INC
189491,XYL,XYLEM INC
025279,BSX,BOSTON SCIENTIFIC CORP
001230,ALK,ALASKA AIR GROUP INC
171007,NOW,SERVICENOW INC
007985,NOC,NORTHROP GRUMMAN CORP
011687,ZION,ZIONS BANCORPORATION NA
100873,NLSN,NIELSEN HOLDINGS PLC
024468,BIIB,BIOGEN INC
007974,NI,NISOURCE INC
147579,NFLX,NETFLIX INC
001078,ABT,ABBOTT LABORATORIES
007881,NEM,NEWMONT CORP
004517,NEE,NEXTERA ENERGY INC
149337,NDAQ,NASDAQ INC
021825,CFG,CITIZENS FINANCIAL GROUP INC
011032,UHS,UNIVERSAL HEALTH SVCS INC
104432,NCLH,NORWEGIAN CRUISE LINE HLDGS
065772,MTD,METTLER-TOLEDO INTL INC
010894,UDR,UDR INC
026061,MTCH,MATCH GROUP INC
028349,ALL,ALLSTATE CORP
004699,MTB,M & T BANK CORP
316056,ALLE,ALLEGION PLC
010795,UAL,UNITED AIRLINES HOLDINGS INC
007585,MSI,MOTOROLA SOLUTIONS INC
178507,MSCI,MSCI INC
012124,MS,MORGAN STANLEY
165052,UAA,UNDER ARMOUR INC
007017,MRO,MARATHON OIL CORP
034410,MRNA,MODERNA INC
010789,TYL,TYLER TECHNOLOGIES INC
007257,MRK,MERCK & CO
160888,MPWR,MONOLITHIC POWER SYSTEMS INC
186989,MPC,MARATHON PETROLEUM CORP
162129,MOS,MOSAIC CO
008543,MO,ALTRIA GROUP INC
024316,MNST,MONSTER BEVERAGE CORP
010519,TXT,TEXTRON INC
007435,MMM,3M CO
007065,MMC,MARSH & MCLENNAN COS
029733,MLM,MARTIN MARIETTA MATERIALS
010499,TXN,TEXAS INSTRUMENTS INC
158742,MKTX,MARKETAXESS HOLDINGS INC
014822,WRB,BERKLEY (W R) CORP
003026,CHD,CHURCH & DWIGHT INC
025119,MHK,MOHAWK INDUSTRIES INC
018872,TWTR,TWITTER INC
014418,MGM,MGM RESORTS INTERNATIONAL
133768,MET,METLIFE INC
001161,AMD,ADVANCED MICRO DEVICES
142953,MDLZ,MONDELEZ INTERNATIONAL INC
139665,MCO,MOODY'S CORP
005959,TT,TRANE TECHNOLOGIES PLC
065609,CHRW,C H ROBINSON WORLDWIDE INC
007154,MCD,MCDONALD'S CORP
007085,MAS,MASCO CORP
028930,MAR,MARRIOTT INTL INC
001598,AME,AMETEK INC
029649,MAA,MID-AMERICA APT CMNTYS INC
184996,TSLA,TESLA INC
160225,MA,MASTERCARD INC
029736,TSCO,TRACTOR SUPPLY CO
165746,LYV,LIVE NATION ENTERTAINMENT
294524,LYB,LYONDELLBASELL INDUSTRIES NV
126136,CHTR,CHARTER COMMUNICATIONS INC
013700,XRAY,DENTSPLY SIRONA INC
001602,AMGN,AMGEN INC
161844,LVS,LAS VEGAS SANDS CORP
009882,LUV,SOUTHWEST AIRLINES
002884,LUMN,LUMEN TECHNOLOGIES INC
062689,TRV,TRAVELERS COS INC
011554,LNT,ALLIANT ENERGY CORP
006742,LNC,LINCOLN NATIONAL CORP
006774,LMT,LOCKHEED MARTIN CORP
006730,LLY,LILLY (ELI) & CO
012138,TROW,PRICE (T. ROWE) GROUP
164708,AMP,AMERIPRISE FINANCIAL INC
155394,LKQ,LKQ CORP
025124,LIN,LINDE PLC
005492,LHX,L3HARRIS TECHNOLOGIES INC
002547,CI,CIGNA CORP
014960,LH,LABORATORY CP OF AMER HLDGS
006649,LEG,LEGGETT & PLATT INC
022815,TRMB,TRIMBLE INC
165123,LDOS,LEIDOS HOLDINGS INC
004503,XOM,EXXON MOBIL CORP
105365,AMT,AMERICAN TOWER CORP
